Unit (week),Day,Tags,Date,Links,category,Name
4,2,,"Apr 13, 2021","https://ironhack.zoom.us/rec/share/BxCvGaQCZdZuz9IPeIBJFACvY2QRiOSyQ5GFV71kbRJrDf0fZ678NYw8ZBR1vNVj.XFudJEFB9h3HeNCQ?startTime=1618299939000, https://ironhack.zoom.us/rec/share/BxCvGaQCZdZuz9IPeIBJFACvY2QRiOSyQ5GFV71kbRJrDf0fZ678NYw8ZBR1vNVj.XFudJEFB9h3HeNCQ?startTime=1618306039000, https://ironhack.zoom.us/rec/share/BxCvGaQCZdZuz9IPeIBJFACvY2QRiOSyQ5GFV71kbRJrDf0fZ678NYw8ZBR1vNVj.XFudJEFB9h3HeNCQ?startTime=1618317526000",lecture,
4,3,"data cleaning, data wrangling, linear regression","Apr 14, 2021",https://ironhack.zoom.us/rec/share/h9n-aow8pDy91L96qxfdIKBscyHCueLFPEch-KpXl_D1D7qdT5Ur5Q-WdrsbdiTy.RocNtbK7z1DrRqnd?startTime=1618389706000,lecture,
4,4,"AUC, MAE, Nullhypothesis, RMSE, ROC, Rsquared, VIF, accuracy, adjusted Rsquared, chi-square, confusion matrix, contingency table, correlation between categoricals, feature engineering, feature selection, healthcare for all dataset, linear regression, logistic regression, multicolinearity, outliers","Apr 15, 2021","https://ironhack.zoom.us/rec/play/fli6Zq9wpT3w4BFK-CMdfHX7mMBT2Ohel7D2hoVrpwtUVffl4Lm-PlL2vYiFSpiFCMarwHZp97RXuTM_.BIUhi68iX-FFD3lf?startTime=1618471759000, https://ironhack.zoom.us/rec/share/2Xo6Y0oCZC2lE50sFGZ3uSnjbWccQ8MgVWbi1WG3ugBT5R4tZVAYSTsXHQ4ZWvIx.BxMb7HtNke_f5Yk2?startTime=1618481715000",lecture,
4,4,"google reviews dataset, np.where, pandas join, pd.to_datetime, python kata, regex","Apr 15, 2021",https://ironhack.zoom.us/rec/play/1eSDu0ctJWSfU-r6E5HJKsJtXKavlhhThBG0mMIFtuxA9I1LcNtvKfFLJl33UBu5PKKddS-EhgxCZ_qY.aZH6zyV2Y58GPT7V?startTime=1618499146000,lab walkthrough,
4,4,"data science, data scientist, deutsche bank, guest talk, hubble constant, working in data","Apr 15, 2021",https://ironhack.zoom.us/rec/play/yUhvVRqxoxtiVUyv4sQCnZLd-f7RJz-RovmDL26O3D6zZLHWMAp2ADIURrrUNhyyWxCGEBUO-M1puDPl.mzyb5_ViLWtb32Im?startTime=1618477313000,guest talk,
4,5,"K means, KNN, KNeighborsRegressor, bias-variance-tradeoff, distortion, ellbow method, healthcare for all dataset, housing dataset, inertia, kanban board, midterm project kickoff, numpy, python kata, recursive function","Apr 16, 2021","https://ironhack.zoom.us/rec/share/6AcqKErH2Bl-148xjVxWx9w-bQWreVWqHja1NoJk51lf2Rrwh1Gl0WtEwja6sU3C.C9eewT0fai00Uv2J?startTime=1618561295000, https://ironhack.zoom.us/rec/share/6AcqKErH2Bl-148xjVxWx9w-bQWreVWqHja1NoJk51lf2Rrwh1Gl0WtEwja6sU3C.C9eewT0fai00Uv2J?startTime=1618575319000",lecture,
5,2,"Analyzing Trends with Tableau, tableau","Apr 20, 2021",https://ironhack.zoom.us/rec/play/YKk6CSLLfaTOSuDAB6TqOdrPanujikBCobTn4HgsAzL9Js3RM4OVGtAdlwCEWpIUNy9hgaWkhqLPmbha.iytq2JOg1V2Jyox1?autoplay=true&startTime=1618909323000,workshop,
5,5,mid bootcamp project,"Apr 23, 2021",https://ironhack.zoom.us/rec/share/rdNnY4JmtW9mmhBv2LiQn9IWMMHSNClUq7GvPE3Ux5d7d08BPyjQd6VVdyVgYhEW.JE7Frq9rMhG32X9J?startTime=1619163036000,project presentations,
6,1,tableau,"Apr 26, 2021","https://ironhack.zoom.us/rec/share/jmR03SZTQa6euFo1IhC5xJBoOzn2WKcvcAr3N-wFBF5Wm9c8tyVN8yLFsobqkuQ.k-AwhHTGMLGZwByo?startTime=1619422798000, https://ironhack.zoom.us/rec/share/jmR03SZTQa6euFo1IhC5xJBoOzn2WKcvcAr3N-wFBF5Wm9c8tyVN8yLFsobqkuQ.k-AwhHTGMLGZwByo?startTime=1619441468000",lecture,
6,2,"tableau, tableau dashboards, tableau geospatial data","Apr 27, 2021","https://ironhack.zoom.us/rec/share/MwEDsTmI-gUptthGk2YUPnfU_1H3XCfk9Qay6aOhMCrbczonLpbHEwippWi_YGzI.Q2dvmjZMh-kO-F5h?startTime=1619509323000, https://ironhack.zoom.us/rec/share/MwEDsTmI-gUptthGk2YUPnfU_1H3XCfk9Qay6aOhMCrbczonLpbHEwippWi_YGzI.Q2dvmjZMh-kO-F5h?startTime=1619525324000",lecture,
6,3,"Visualization Best Practices, data wrangling, tableau, tableau dashboards","Apr 28, 2021",https://ironhack.zoom.us/rec/share/AO657cj33MMzOQVUlSNjrU1xtdFBoxv5hb7GFILWO4WJqvSGbzRsN5-DUEBHgwNs.twzVuKF9mvziJfqb?startTime=1619619326000,project presentations,
